Obscure_encounters,Wilderness_hooks,General Story Hooks,City_plots,Npc_Traits,Encounters_b,Dungeon_dangers,Overhead_phrases,inn_encounters
A dead homeless halfling found in an alley had a small bottle of very cheap whisky. The label has a brand mark you’ve not seen before – 4 vertical slashes and 2 short slashes across the bottom.,"A local lord has hired you to remove the goblins that have taken over the church and has started to take over the surrounding buildings. Upon arrival you see they take in orphans as forced labor. The orphans are miserable but asking whether they prefer staying in the streets versus the meals and boarding the goblins provide, they choose the church. The choice is whether you leave them be or remove the goblins, because they will continue to take over the rest of the village.",A changling has a sword pulled on them by their friends after telling them they're a changling.,"The annual lantern festival, ""Night of a Thousand Lights"", is happening! At midnight, citizens gather to light mini lanterns that float up into the sky. The old timers recant how the lanterns are to lead missing travelers and long lost loved ones home.","A constant rattle follows them. Belts, pouches, and bags at the ready. They are geared for any and all things reaching to a new place most moments. Knifes, for all manner of things, journals for multiple subjects, pocket watches, pocket calendars, pocket compasses. (by Leif-Colbry)","On a well-travelled road between two important town or cities, there is a large crater, seemingly caused by an explosion, and still smouldering. If the party are first to the scene, are they blamed for it? Otherwise, a crowd has already started to gather, and merchants are complaining this will delay them. What formed the crater, and will it strike again? u/Samlefomas",,"“Lucky for us, the wizard lit the pinecones on fire, and we hurled them at the dire wolves that had chased us up the trees!”",A local making a delivery whispers a warning that the inkeeper is known to steal from guests. [/u/gnurdette]
"The pommel of a sword you found on your last adventure rattled loose. Inside you a scrap of parchment with lots of scratchmarks, almost looks like writing.","The party is tasked by local clergy with finding homes for three orphaned siblings: two boys (about 12 and 10) and a girl (about 6). A local farmer and his spouse are willing to take only the boys (to work on the farm); a wealthy, childless widow visiting her cousin will take only the girl (she wants an heir). The children want to stay together. No one in town can afford to take all three children. The widow will take the girl back to the place where she lives in two days when her visit ends. The children, who were found wandering the road, have no living relatives and no local ties. Will the party negotiate these arrangements? Talk one of these parties into taking all three? Donate to a completely different family who will keep the children together? Take the children to another town and hope for the best? Leave the clergy to handle it?","Declog a sewer pipe in the sewers beneath the city. There is a homeless werebeaver living there that is unknowingly building a dam, causing the blockage, during full moons.",It's the annual Mimic festival! This city actually enjoys Mimics for their versatility and celebrates by letting them be in their natural form and feed them a feast!,"They are never alone, a pet of some sort is always there slithering or feathering about. Wherever their master goes, they follow, even when they should not.","Large signs have been set up along a stretch of road that warn of impending danger, telling people to turn back. There have been no reports of danger, and if the party choose to turn back, they may find it was the work of teenage pranksters in the last town they passed.",,“Can we not talk about that incident in the graveyard?”,A guest is rushing from room to room looking for help for her abruptly ill husband. [/u/gnurdette]
"A wanted poster has been nailed up – Wanted: Black Pete, for Brigandry.","The heir apparent is not the rightful heir; get this evidence to the palace on behalf of his older brother, who should replace the dying King. The older brother has been considered illegitimate, but we have a wedding ring and testimony from the priest who secretly married the king to his mother before he was born. What's more, the younger ""heir apparent"" has known about this all along and knows that his older brother deserves the throne. Problem is... the older brother is an idiot; the rightful heir according to the law, but probably a terrible king-to-be.",Track down a cowardly sentient ooze with a magic item.,"Holes (5-10 ft radius, 3-6 ft deep) have been appearing around the city since [1d6+2] days ago, causing traffic problems and some house damage. There’s a 10% chance that a hole will appear below where the party is resting, waking them up.","It's subtle, but each step has extra bounce and pep. In their eyes there is always a little spark that is pulsating from joy, and they don't even realize it. (by Leif-Colbry)","Two nearly-identical people are dueling in the road (choose how they fight). As the party approach, one delivers the coup de grace on their opponent, killing them. They tell the party that the opponent was their twin, who betrayed them. If the party try to arrest or kill them, they fight to the death, having been already injured, and die with a cry about the injustice of the world on their lips.",,“You did what with a fire elemental?”,"The hotel is raided by local authorities as it is operating as a illegal brothel. Either because prostitution is illegal, this establishment is dodging taxes or something more sinister. You are believed to be a customer and treated as such by the authorities. [/u/Equivalent_North710]"
The scribe you made inquiries with last week has got back to you. She says the Tomb of Three Chieftains can be found outside Millthorp.,"The party is hired to clear the nearby forest of a small pair of deadly owl bears so that the hunters may roam the forest in peace. On their way to slay the beasts, they find many signs and instances of Gnoll corpses and signs of fighting against them. If they chose to investigate, they will find on the far side of the forest is a band of Gnolls who fear the owl bears, and have been kept from exploring deeper in the woods (and thus discovering the village) because the Owl bears keep them at bay. Should they be removed, it is likely the Gnolls will push deeper into the forest and find the village.",Win a poetry competition in a cave of intelligent pacifist orcs,"A clear Druid message has appeared in the sky, something all people can see, but no one knows its meaning. The message disappears after [1d4] days, when the secret battle between two different druid circles ends, leaving only neutral sentient plants outside the city.","They are living in a fable, at least in their own mind, they rhyme and enunciate rather than they talk, and act like the world was the stage and the people their audience.","The signs of a recent dragon attack mark a nearby village, with charred buildings, and citizens in a pitiful state. If the party stops to help, they are simply asked for money so the village can rebuild, and villagers will try to gently insist that they don't need any help, just cash. The 'villagers' are actually charlatans, and this is their latest, most elaborate ruse designed to fleece do-gooders.",,"""And so I told him, “Mate, you’re just a post-birth abortion waiting to happen.” Shit really hit the cyclone after that.""","A religious book for a cult to a Great Old God, some Lovecraftian monster, can be found in the bedside table. It’s been placed there by the in-world equivalent of the Gideonites. If mentioned to the Tavern Owner they get upset and launch into a litany of profanity about the group that keeps placing the books in the rooms. [/u/MyEvilTwin47]"
"While at market, you saw three wagons being carefully guarded by scruffy and shifty looking mercenaries. There are barrels of cheap rotgut in the wagon.","PCs are hired to clear out kobolds from their mine nearby, so that humans can mine their silver.",Help a lone forest dweller unblock the mountain path from storm debris,"Somebody has wrote and spread around the city a harsh truth about some guards who failed in protecting the people a long time ago. The people are furious and want justice, but in [1d8+1] days someone will discover it was fake information used as a cover for a prison break.","Everyone of their movement is the epitome of grace, they float above the ground rather than walking and each of their movements is a delight to see.","One or several bulletes, depending on party level, attack, emerging from the ground. After the battle, or during, the party notice that these bulletes are constructs, not real. The source of these is a villainous artificer living in seclusion, who has begun to construct mechanical monstrosities to terrorise the surrounding land. Who knows what else they have in their workshop?",,"""Nobody talk about those damn chickens okay?""","A visiting group of dancers from a faraway land are in the city to perform their traditional clog dance, and they rehearse the performance into the early morning hours. [/u/MyEvilTwin47]"
A pilgrim accosts you in the street. He asks if you’ll be travelling east anytime soon.,"The party is hired to bring a crate of valuable medicine to a faraway city facing a debilitating wasting disease. You are warned that you will face opposition on your way, and may have to smuggle it in, and that it would be confiscated if found. Your party is approached with urgency and paid handsomely. However it's not medicine, it's all addictive narcotics.",Help an astral dragon return to its home plane.,"Something strange is happening in the city: people claim to become lost when walking down the street, but reach their destination [1d12] hours later, which is extremely confusing. There’s a 20% chance of this happening to one or more players. This is the effect of a powerful mage trying to learn how to manipulate time in secret, but in [1d4+3] days she will be stuck in a reverse time-stop spell of her own creation (only she is frozen in time), and the effects on the public will end.","They are always humming, tapping or otherwise making some kind of music. Head waving under an inaudible music, they are constantly vibing to their own rhythm.",A bunch of halfling children (no older than 10) are playing tag. They bump one of the PCs. Where’d your coin pouch go? One of them yells back to the PCs. “Hide and go seek and you’re it!” Then blows a raspberry u/sayer24,,"""... and, of course, the invisibility spell had to pick that specific moment to wear off, and me without even a towel to cover myself with. And that's the story of how I ended up getting my head and ass kicked in by the women's rugby team.""","You catch a thief ransacking the room, looking for a valuable item. They are armed with a dagger but have poor fighting skills. They’re also not only looking in the wrong room, but the wrong tavern. [/u/MyEvilTwin47]"
The bakery has no cake. He explains it’s because there’s a shortage of milk.,"The party has been hired as bodyguards, to escort a negotiator to a peace conference between two warring city states. During the journey, the more time they spend with the negotiator, they learn that he’s actually a former warlord, accused of war crimes and cruel experiments against enemy prisoners of war. He was supposedly shot several times with arrows, crossbow bolts, a couple of ballista bolts, stabbed, hanged, decapitated and burned at the stake. However, the body was never reliably identified.",Help with rebuilding an intricate shrine so the settlement it's built around can receive the blessing of its god(s) once more. Proper reconstruction probably requires it to be partly made of rare materials using exotic techniques.,"A cheerful Halfling is giving luck coins to everyone who listen its story. The story changes for everyone, since the Halfling is a deity trying to inspire and help people who will need it to survive a future tragedy.","Unable to keep eye contact, their voices barely leave their mouths. Their body hunched so as to not stand out, they do their best to not be visible.",,,"""You really thought it would be a good idea to hire a bard for your daughter's 18th birthday? Especially one with his reputation?""","A teenage boy is in the room, hiding from the City Watch, who claim he broke into the local lord’s/king’s castle. The boy claims he was there invited by the heir apparent, his lover. DM determines which is true. [/u/MyEvilTwin47]"
A patrol of the Kings Guard rode fast down main street. They almost ran you over.,The party is asked to eradicate a kobold/goblin pack outside the town for stealing from local farmers. The pack is only stealing because they've been pushed out of their home by the town.,Help the festival planners in preventing an important festival competition/election/nomination from being rigged.,"The prince is marrying a Medusa, something no one expected and is causing confusion among the population. Days later, the princess reveals she has married a weretiger instead of a Tabaxi. No one is sure how to react.","They can't leave without being the center of all attention, always looking for the spotlight, oftentime their attempt lacks subtlety.",,,"""...why do so many of your spells involve tentacles?!""","A really terrible bard has set up in the lobby and is playing only cover songs of modern (earth) music, but in a style inappropriate to the songs. [/u/JoshSamBob]"
"There’s a parade of pilgrims on main street, heading for the commons. They appear somber and morose.",A devil promises one wish in exchange for his release from magical shackles.,Accompany a famous explorer(s) as they seek to catalog new sights with the aid of 'fresh yet experienced perspectives'.,"A long famous restaurant is closing since the owner “has no more inspiration.” It'll be selling food one last time in [1d4] days, and some lucky customers will receive one of its secret famous recipes! The lines are expected to be ridiculous.","They are in the macabre, too much, dark color, heavy somber make-up, accessories about death and they never blink. Never.",,,"""Hey, you. Wanna buy a sundial?""",Two huge dogs - the size of small horses - sleep by the hearth fire and growl if anyone comes near. [/u/JoshSamBob]
"Southbridge, just outside town, has been closed to traffic due to disrepair. Merchants complain about the 2 hour detour they now incur by first heading east.","A town lord wants you to protect the construction of a large public works. They are rerouting a river through a different valley which would mean far more fertile land for his people. However, the valley the river is being diverted from is occupied by a smaller village. Without the river, it will turn into a ghost town.",Rescue a merchant caravan trapped in a stormy mountain pass.,"The city's water source becomes tainted. By deliberate poison, accidental pollution, or (some speculate) a possible ooze infestation, no one is quite sure yet what the cause is exactly yet.",They are always munching on medication like they were candies.,,,"""... and then I said 'Wrecked'em? Damn near killed'em!' Get it? ... ah, you guys wouldn't know a joke if it bit ya.""","The room is significantly colder than the hallway. Like, 30°F/16°C colder. [/u/JoshSamBob]"
"The town guard are seen practicing new drills on the common. Apparently a local bandit has enlisted a wizard, and so training in avoiding fireballs is called for.","The king has a rebel untamed frontier region that is always in need of purging of humanoids. Recently there is talk of an Evil Beholder/Dragon/Big Monster amassing a tribe of giants and that they rule that region limiting humanoids but also human settlers. Once you meet the leader of that tribe you find him to be intelligent and amendable to almost every propositions. However he is amassing tribes after tribes under his banner and will soon have much more power. If the players get rid of the leader, the giants will not go away and a worst leader may take his place. If the players wipe the giants, the humanoids will bounce back and be even more of a problem.","Tutor a newborn demigodlike being in mortal matters, so that it can blend in with the mortal family it is raised with.","A merchant cart carrying various goods was too heavy for a bridge and collapsed into the river below. Traffic is being rerouted, but travel times through the city are doubled for [1d10+3] days due to the extra congestion while the bridge is repaired. The merchant lost something of great value downstream and wishes to have it returned, but it may have travelled into the sewers...","They look through the invisible lens of an impressive mask covered in intricate design, but they don't seem bothered at all by it, like this mask was their own face.",,,"""... I guess, in a way, kobolds are kinda like Dragonborn halflings. Not that I'd ever say that within earshot of a Dragonborn, however.""","There's a goblin under the bed. When you see it, it smiles, puts a finger to its lips, and silently makes a ""Shush""ing face.[/u/JoshSamBob]"
The local priesthood is paying gold for water collected from the Opal Caves to treat a spreading fever,"The player characters come across a notorious bandit who has recently been injured in a robbery gone wrong. The bandit offers them a deal: if they help him retrieve a valuable artifact from a nearby ruin, he will give them a large sum of gold and information that could lead them to even greater treasures. However, the ruin is guarded by powerful magic and the artifact may have a terrible curse attached to it.","Help the local government investigate and assess candidates for an office of high esteem, requiring specific traits e.g. unwavering loyalty, honesty, a propensity for pragmatism, etc.",A very bad blight has spread through the city seeming to emanate from the nicer side of town. Sick people begin filling the streets more and more each day. In [1d20+5] days all the businesses will close as the workers are too sick. The source of this affliction is irrelevant at this point- what the city NEEDS is a cure!,"They move slowly and carefully, like they are afraid of hurting or breaking anything they touch. Even their words are smooth and cautious, they will avoid confrontation as much as they can.",,,"""Seeing as they have to run after criminals, is it really wise to hire someone with a knee injury as a guard?""","The inn offers free room service, but it comes with a nefarious cost. [/u/JoshSamBob]"
An apothecary will pay for certain herbs growing in the Frog Marches.,"Ruthless cultists have kidnapped the baron's son and daughter-in-law and promise to kill them. The baron wants you to rescue his son but not his daughter-in-law, who must be ""accidentally"" left behind. Once his son is widowed, the baron has a new highly favorable political marriage lined up for his son.",Bring a renowned artist to somewhere they've never been so they can become inspired once more.,"The town guard are intentionally allowing crime to run rampant in certain areas which is giving the King a bad reputation. Is this a matter of principal to protest a refused pay raise? Perhaps a personal vendetta between the guard captain and the leader? Has some kind of payoff occurred, funded by an unknown third party? Or are they just bad at their jobs, but because [PLOT_REASON] there isn't anyone better to take their place?","They have a constant fire burning in their eyes, guided by their impulsivity, they are ready to fly off the handle at the moment notice and their body language is not shy of showing it.",,,"""And I'm-a telling you, the world, she is not-a flat-a. She's a round, she's a firm-a, she's a fully-packed-a! She's-a round, LIKE-A MY HEAD!!!""","Another guest begs you to swaps rooms, but won't say the reason (you may roll again)."
The local Stonecutters Guild are not petitioning for work contracts; labourers are grumbling.,"A local woodworker asks you to retrieve a special kind of wood from a grove nearby. When you reach the grove and attempt to fell one of the trees a dryad appears. The dryad will ask for a trade, you may take a tree from the grove if you agree to take a sapling to plant in another location (she may describe a particular kind of location eg: near the shoreline).",One of the locals owns a hyperactive blink dog as a pet. Recently they hurt their leg so need someone to take it for a walk. WCGW.,"Members of a [secret society/Thieves/Assassins guild] receive instructions encoded in prayer material that's distributed during regular religious services on where to meet in secret, information on missions/targets, illicit materials/substances, or other intel of value that cannot be exchanged in public. Are the priests/clerics in on it? Or are they being unknowingly manipulated by an unseen hand?","They can be described as cheerfully sociopathic. In their opinion overkill and ultra-violence are perfectly justifiable tool, but apart from that, they are the sweetest person around",,,“...we’re halfway through when I open a door and: frogs. Everywhere.”,"You walk into the wrong room. You may find another guest, a staff member or whatever the DM fancies."
A frost giant approaches the group. The giant politely asks for help. He lost his pet owlbear and needs help finding it. He promises a very handsome amount of gp as well as “a powerful ally” if you find the creature.,"A thief keeps stealing from a farmer and his farm is in danger of being unable to provide food for the local town if it continues. A prominent member of the community, the nasty head of the thieves guild chapter, has been arrested and charged for the crime. However: he is adamant on he is innocent and has never used their skills to harm the residents of the town. It turns out, a group of destitute children are the thieves, but they are doing so as their single mother is extremely ill and is unable to work to provide for the family. Without food, they and their mother will surely starve. However, an innocent man will soon lose his hands for a crime he did not commit if they are not brought to justice.",Recover several missing sandbags and get them to the town before the coming storm.,The local blacksmith disappeared over night. Not even his family have any clue about his whereabouts. Although the locals suspect it has something to do with the large quantity of [insert rare material] he acquired- because there's no way he could've afforded it.,"Even if they are dressed modestly, it is not really enough to hide their shapely silhouette, especially since they often end up flirting and charming without realizing it.",,,"“...’ oh no, Mr. Bigshot Wizard is gonna curse me! Ha!’ ZAP! And that’s why I’m married to a cow.”",You room (or maybe the whole inn) is infested with fleas/bedbugs/mosquitoes...
"A goblin in noble clothes crashes through the window and rolls over the ground. The symbol of the king’s guard is embroidered on his half-cape. As he gets up, he panics and looks around, fixing his eyes upon the party. “The Goat-Riders are coming! Please, hide me!”","A farming community tell of a beast that has been killing their live stock. The beast is in fact a wild man, cursed by a witch to become a rampaging wolf at night. The witch cursed the man because he rebuked her love for the love of another.",,"A poster campaign critical of the monarchy has been rather more successful than is comfortable for some of the upper crust. This is leading to raids, arrests and increased patrols by the already overworked night watch.","They look like they gave up on life, they are lifeless, not caring about anything and it shows in their tone, their clothing and their lifestyle. Be it drink or drunk, anything that can make them not care.",,,"“Wait, they regenerate?”","The city watch/clergy/sanitary authority have cordoned around the inn, with all its guests and staff stuck inside."
"A large burly man has started a daily ritual of throwing a goat at the side of a local noble’s house. He is not damaging the house, so he is not doing anything that will make the local law enforcement arrest him, but the noble wants him dealt with, and will pay you to get rid of him, however.","Players get hired by a Wizard for protection. As of late, the Wizard has been hunted by devils/demons/twisted creatures of some sort from another plane. Turns out though, these creatures used to be living people- the Wizards former apprentices, who are coming back for revenge.",,"A strange black mold is spreading through the city, popping up in isolated spaces. A cult of mad druids are to blame, as over the last few weeks they've planting strategically placed cultures of the fungus. The cult intends to chain together several rituals of the Plant Growth spell to turn the city into a forest of deadly fungus.","They have the air of a beast, either their facial structure is reminiscent of a rat, a horse, or other animal. Or some of their mannerism as something animal-like.",,,"“...it was so cute too, he even had a bucket on his head for a helmet. I still walloped him after I fished him out of the well though.”","Someone famous/popular/important is lodging in the inn. Their bodyguards won't let anyone close to their room, let alone get close to them."
"A sword in the stone can be sensed by all creatures in the land with “Detect Magic” but lately it seems that the presence is becoming overbearing. Magic users are worried that unless the true king draws the sword, proving his lineage, or the spell “Detect Magic” will become obsolete.","The party is hired to liberate a recently invaded border village. On further investigation, this is far from the first time the village has been ""liberated"", and multiple groups have a claim to it as their home.",,"A prankster has started throwing illusions all over the city. Doors, manholes, and other such items are turning out to be illusory quite often as a result. The city watch are on constant guard for the perpetrator and will often poke and touch objects they're suspicious of while on duty.","They are not born with their face, it was reconstructed or modified. Hard to say if it's an enhancement or a way to hide something.",,,"""...Curr, I am Zote the Mighty knight of great renown. Surely you have heard of me! You simply must give me, Zote the Mighty Knight of great renown, free drinks!""",A gnome ask the party to participate in a study as a focus group about what it's their worst/hardest enemy to engage in battle. The gnome is the BBEG's minion.
"As the group walks through the forest, one member hears very quiet crying. The crying is coming from a lost juvenile harpy. It is the job of the group to protect this harpy. They can either keep and raise the creature, or return it to its mother.","A lord has asked the party to dispatch some low-life bandits who are terrorizing the local people. The bandits call themselves freedom fighters, fighting against the over taxing of the lord, taking the money off the middle class to fund for weapons, not wanting to give up vengeance against the lord who let their children starve.",,"A local elderly priest died in the middle of a special ceremony. The gathered crowd is awestruck as a brilliant light descended on his body, explodee in a harmless but temporarily blinding flash, and the body was gone. Even more mysteriously, now a handful of citizens have an invisible mark on their right cheek that glows whenever they near or enter the temple/holy site where it happened. The Royal Wizard wants a formal investigation, but the city guard doesn't have the manning.","They are repulsive, but it's hard to pinpoint why. They are not that ugly, and if their body smells is not that excessive, but for whatever reason, it’s hard to stand their presence.",,,"""Say you put it atop your house, would you become a god?""",A tiny servant or another similar construct in cleaning the corridors. If obstructed or harmed in any way the Innkeeper will demand the perpetrator to stop/pay a fine/leave the inn.
"The party finds a smouldering crater containing a metal wreck. Inside, they find an eccentric kobold who insists she has returned from the moon.","The party is hired to escort a caravan of civilians through a war zone between two nations. Along the way, they discover that one of the covered wagons contains weapons that will prolong the war and break the fragile armistice. The party must decide whether to continue on their mission and deliver the weapons, or risk their own lives and the safety of the caravan to prevent the weapons from reaching their destination.",,. The King's wife/daughter is having an affair with a notorious villain in the city. It gets discovered in [2d8] days.,". They are emotionally stunted. They never express anything except a stoic facade that never fades, they are unable to express pain, and it makes them unwillingly cold and distant to others.",,,". “...but I had to put that life behind me. Too much glamour and fame in candlemaking, and I just wanted to settle down. The ladies it brought, though... my goodness, the ladies.”",. Surprise! you are the 100th! guest. The staff throws a small party for you and your friends.
